Job:  minatar-freeway-N3 (44484566)
Node: holygpu8a11401.rc.fas.harvard.edu
GPUs: 0
Cores per task: 2
Python path updated:
sys.path includes: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax
PYTHONPATH env var: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax:
Config: env_name='minatar-freeway' seed=0 lr=0.0003 num_envs=4096 num_eval_envs=100 num_steps=128 plan_horizon=3 total_timesteps=500000000 frame_skip=1 update_epochs=3 minibatch_size=4096 gamma=0.99 gae_lambda=0.95 clip_eps=0.2 ent_coef=0.01 vf_coef=0.5 max_grad_norm=0.5 wandb_project='pgx-minatar-ppo' save_model=True gpu_id=0
Available JAX devices: [CudaDevice(id=0)]
Using device: cuda:0
Using custom Freeway env with frame skip
Starting training (Macro-PPO, AR head)...
{'sec': 50.62878608703613, 'minatar-freeway/eval_R': 60.82999801635742, 'steps': 122683392}
{'sec': 51.27714514732361, 'minatar-freeway/eval_R': 61.1099967956543, 'steps': 124256256}
{'sec': 51.92599582672119, 'minatar-freeway/eval_R': 61.32999801635742, 'steps': 125829120}
{'sec': 52.57484006881714, 'minatar-freeway/eval_R': 61.38999938964844, 'steps': 127401984}
{'sec': 53.223854541778564, 'minatar-freeway/eval_R': 60.7599983215332, 'steps': 128974848}
{'sec': 53.87243342399597, 'minatar-freeway/eval_R': 61.07999801635742, 'steps': 130547712}
{'sec': 54.52111864089966, 'minatar-freeway/eval_R': 61.79999923706055, 'steps': 132120576}
{'sec': 55.170557737350464, 'minatar-freeway/eval_R': 61.3599967956543, 'steps': 133693440}
{'sec': 55.81949973106384, 'minatar-freeway/eval_R': 61.5099983215332, 'steps': 135266304}
{'sec': 56.46824789047241, 'minatar-freeway/eval_R': 61.43000030517578, 'steps': 136839168}
{'sec': 57.11700701713562, 'minatar-freeway/eval_R': 61.619998931884766, 'steps': 138412032}
{'sec': 57.76565742492676, 'minatar-freeway/eval_R': 61.439998626708984, 'steps': 139984896}
{'sec': 58.41429400444031, 'minatar-freeway/eval_R': 61.62999725341797, 'steps': 141557760}
{'sec': 59.0631046295166, 'minatar-freeway/eval_R': 61.63999938964844, 'steps': 143130624}
{'sec': 59.71173930168152, 'minatar-freeway/eval_R': 61.39999771118164, 'steps': 144703488}
{'sec': 60.36099624633789, 'minatar-freeway/eval_R': 61.97999954223633, 'steps': 146276352}
{'sec': 61.009735345840454, 'minatar-freeway/eval_R': 61.72999954223633, 'steps': 147849216}
{'sec': 61.658008098602295, 'minatar-freeway/eval_R': 61.73999786376953, 'steps': 149422080}
{'sec': 62.30688691139221, 'minatar-freeway/eval_R': 62.15999984741211, 'steps': 150994944}
{'sec': 62.9563992023468, 'minatar-freeway/eval_R': 62.15999984741211, 'steps': 152567808}
{'sec': 63.60531163215637, 'minatar-freeway/eval_R': 62.119998931884766, 'steps': 154140672}
{'sec': 64.2541515827179, 'minatar-freeway/eval_R': 62.53999710083008, 'steps': 155713536}
{'sec': 64.90448260307312, 'minatar-freeway/eval_R': 61.81999969482422, 'steps': 157286400}
{'sec': 65.55397248268127, 'minatar-freeway/eval_R': 62.2599983215332, 'steps': 158859264}
{'sec': 66.2033519744873, 'minatar-freeway/eval_R': 62.64999771118164, 'steps': 160432128}
{'sec': 66.8524374961853, 'minatar-freeway/eval_R': 62.099998474121094, 'steps': 162004992}
{'sec': 67.50129508972168, 'minatar-freeway/eval_R': 62.34000015258789, 'steps': 163577856}
{'sec': 68.14964318275452, 'minatar-freeway/eval_R': 62.28999710083008, 'steps': 165150720}
{'sec': 68.79844498634338, 'minatar-freeway/eval_R': 62.21999740600586, 'steps': 166723584}
{'sec': 69.44683837890625, 'minatar-freeway/eval_R': 61.97999954223633, 'steps': 168296448}
{'sec': 70.09568357467651, 'minatar-freeway/eval_R': 62.599998474121094, 'steps': 169869312}
{'sec': 70.74507927894592, 'minatar-freeway/eval_R': 62.47999954223633, 'steps': 171442176}
{'sec': 71.39374804496765, 'minatar-freeway/eval_R': 62.40999984741211, 'steps': 173015040}
{'sec': 72.04322147369385, 'minatar-freeway/eval_R': 62.22999954223633, 'steps': 174587904}
{'sec': 72.69199585914612, 'minatar-freeway/eval_R': 62.32999801635742, 'steps': 176160768}
{'sec': 73.3411614894867, 'minatar-freeway/eval_R': 62.939998626708984, 'steps': 177733632}
{'sec': 73.9900734424591, 'minatar-freeway/eval_R': 63.03999710083008, 'steps': 179306496}
{'sec': 74.64020299911499, 'minatar-freeway/eval_R': 62.25, 'steps': 180879360}
{'sec': 75.28920102119446, 'minatar-freeway/eval_R': 62.3599967956543, 'steps': 182452224}
{'sec': 75.93851709365845, 'minatar-freeway/eval_R': 62.71999740600586, 'steps': 184025088}
{'sec': 76.5874559879303, 'minatar-freeway/eval_R': 62.25, 'steps': 185597952}
{'sec': 77.23644185066223, 'minatar-freeway/eval_R': 62.52000045776367, 'steps': 187170816}
{'sec': 77.88532280921936, 'minatar-freeway/eval_R': 62.77000045776367, 'steps': 188743680}
{'sec': 78.53489422798157, 'minatar-freeway/eval_R': 62.54999923706055, 'steps': 190316544}
{'sec': 79.1836588382721, 'minatar-freeway/eval_R': 62.439998626708984, 'steps': 191889408}
{'sec': 79.83309292793274, 'minatar-freeway/eval_R': 62.75, 'steps': 193462272}
{'sec': 80.48184180259705, 'minatar-freeway/eval_R': 62.459999084472656, 'steps': 195035136}
{'sec': 81.13143610954285, 'minatar-freeway/eval_R': 62.77000045776367, 'steps': 196608000}
{'sec': 81.78017282485962, 'minatar-freeway/eval_R': 62.69999694824219, 'steps': 198180864}
{'sec': 82.4292995929718, 'minatar-freeway/eval_R': 62.57999801635742, 'steps': 199753728}
{'sec': 83.07811999320984, 'minatar-freeway/eval_R': 63.03999710083008, 'steps': 201326592}
{'sec': 83.72770309448242, 'minatar-freeway/eval_R': 62.709999084472656, 'steps': 202899456}
{'sec': 84.37713265419006, 'minatar-freeway/eval_R': 63.15999984741211, 'steps': 204472320}
{'sec': 85.02678799629211, 'minatar-freeway/eval_R': 63.029998779296875, 'steps': 206045184}
{'sec': 85.67537021636963, 'minatar-freeway/eval_R': 62.78999710083008, 'steps': 207618048}
{'sec': 86.32441258430481, 'minatar-freeway/eval_R': 63.32999801635742, 'steps': 209190912}
