Job:  minatar-breakout-N4 (44484573)
Node: holygpu8a15301.rc.fas.harvard.edu
GPUs: 0
Cores per task: 2
Python path updated:
sys.path includes: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax
PYTHONPATH env var: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax:
Config: env_name='minatar-breakout' seed=0 lr=0.0003 num_envs=4096 num_eval_envs=100 num_steps=128 plan_horizon=4 total_timesteps=500000000 frame_skip=1 update_epochs=3 minibatch_size=4096 gamma=0.99 gae_lambda=0.95 clip_eps=0.2 ent_coef=0.01 vf_coef=0.5 max_grad_norm=0.5 wandb_project='pgx-minatar-ppo' save_model=True gpu_id=0
Available JAX devices: [CudaDevice(id=0)]
Using device: cuda:0
Using custom Breakout env with frame skip
Starting training (Macro-PPO, AR head)...
{'sec': 102.57724285125732, 'minatar-breakout/eval_R': 42.41999816894531, 'steps': 322961408}
{'sec': 103.24252700805664, 'minatar-breakout/eval_R': 49.06999969482422, 'steps': 325058560}
{'sec': 103.90819382667542, 'minatar-breakout/eval_R': 43.38999938964844, 'steps': 327155712}
{'sec': 104.5746750831604, 'minatar-breakout/eval_R': 42.439998626708984, 'steps': 329252864}
{'sec': 105.24023246765137, 'minatar-breakout/eval_R': 43.5, 'steps': 331350016}
{'sec': 105.9056785106659, 'minatar-breakout/eval_R': 36.66999816894531, 'steps': 333447168}
{'sec': 106.57149124145508, 'minatar-breakout/eval_R': 44.97999954223633, 'steps': 335544320}
{'sec': 107.23746967315674, 'minatar-breakout/eval_R': 45.119998931884766, 'steps': 337641472}
{'sec': 107.90360522270203, 'minatar-breakout/eval_R': 49.73999786376953, 'steps': 339738624}
{'sec': 108.57044649124146, 'minatar-breakout/eval_R': 37.21999740600586, 'steps': 341835776}
{'sec': 109.23623037338257, 'minatar-breakout/eval_R': 42.61000061035156, 'steps': 343932928}
{'sec': 109.9020893573761, 'minatar-breakout/eval_R': 48.599998474121094, 'steps': 346030080}
{'sec': 110.5683901309967, 'minatar-breakout/eval_R': 50.119998931884766, 'steps': 348127232}
{'sec': 111.23422002792358, 'minatar-breakout/eval_R': 39.2599983215332, 'steps': 350224384}
{'sec': 111.90053987503052, 'minatar-breakout/eval_R': 42.73999786376953, 'steps': 352321536}
{'sec': 112.56664538383484, 'minatar-breakout/eval_R': 37.88999938964844, 'steps': 354418688}
{'sec': 113.23257064819336, 'minatar-breakout/eval_R': 42.20000076293945, 'steps': 356515840}
{'sec': 113.89842343330383, 'minatar-breakout/eval_R': 48.029998779296875, 'steps': 358612992}
{'sec': 114.56458926200867, 'minatar-breakout/eval_R': 47.04999923706055, 'steps': 360710144}
{'sec': 115.2313551902771, 'minatar-breakout/eval_R': 44.31999969482422, 'steps': 362807296}
{'sec': 115.89738726615906, 'minatar-breakout/eval_R': 56.97999954223633, 'steps': 364904448}
{'sec': 116.5638279914856, 'minatar-breakout/eval_R': 41.0, 'steps': 367001600}
{'sec': 117.2299633026123, 'minatar-breakout/eval_R': 54.72999954223633, 'steps': 369098752}
{'sec': 117.8963143825531, 'minatar-breakout/eval_R': 49.89999771118164, 'steps': 371195904}
{'sec': 118.56263327598572, 'minatar-breakout/eval_R': 49.53999710083008, 'steps': 373293056}
{'sec': 119.22845983505249, 'minatar-breakout/eval_R': 44.779998779296875, 'steps': 375390208}
{'sec': 119.89464688301086, 'minatar-breakout/eval_R': 48.029998779296875, 'steps': 377487360}
{'sec': 120.5610466003418, 'minatar-breakout/eval_R': 54.48999786376953, 'steps': 379584512}
{'sec': 121.22720265388489, 'minatar-breakout/eval_R': 47.11000061035156, 'steps': 381681664}
{'sec': 121.89323949813843, 'minatar-breakout/eval_R': 45.25, 'steps': 383778816}
{'sec': 122.55978035926819, 'minatar-breakout/eval_R': 55.0099983215332, 'steps': 385875968}
{'sec': 123.2261414527893, 'minatar-breakout/eval_R': 59.8599967956543, 'steps': 387973120}
{'sec': 123.89226412773132, 'minatar-breakout/eval_R': 47.81999969482422, 'steps': 390070272}
{'sec': 124.55845975875854, 'minatar-breakout/eval_R': 42.31999969482422, 'steps': 392167424}
{'sec': 125.22406220436096, 'minatar-breakout/eval_R': 53.04999923706055, 'steps': 394264576}
{'sec': 125.88956308364868, 'minatar-breakout/eval_R': 53.38999938964844, 'steps': 396361728}
{'sec': 126.55608940124512, 'minatar-breakout/eval_R': 48.12999725341797, 'steps': 398458880}
{'sec': 127.22190928459167, 'minatar-breakout/eval_R': 56.11000061035156, 'steps': 400556032}
{'sec': 127.88907265663147, 'minatar-breakout/eval_R': 53.5099983215332, 'steps': 402653184}
{'sec': 128.55509614944458, 'minatar-breakout/eval_R': 57.959999084472656, 'steps': 404750336}
{'sec': 129.22214722633362, 'minatar-breakout/eval_R': 51.11000061035156, 'steps': 406847488}
{'sec': 129.88856053352356, 'minatar-breakout/eval_R': 56.43000030517578, 'steps': 408944640}
{'sec': 130.55551409721375, 'minatar-breakout/eval_R': 57.69999694824219, 'steps': 411041792}
{'sec': 131.22466254234314, 'minatar-breakout/eval_R': 51.2599983215332, 'steps': 413138944}
{'sec': 131.8908610343933, 'minatar-breakout/eval_R': 45.38999938964844, 'steps': 415236096}
{'sec': 132.55685806274414, 'minatar-breakout/eval_R': 58.07999801635742, 'steps': 417333248}
{'sec': 133.22335410118103, 'minatar-breakout/eval_R': 60.65999984741211, 'steps': 419430400}
{'sec': 133.88958263397217, 'minatar-breakout/eval_R': 57.029998779296875, 'steps': 421527552}
{'sec': 134.5557839870453, 'minatar-breakout/eval_R': 61.07999801635742, 'steps': 423624704}
{'sec': 135.22195744514465, 'minatar-breakout/eval_R': 56.91999816894531, 'steps': 425721856}
{'sec': 135.8881812095642, 'minatar-breakout/eval_R': 53.53999710083008, 'steps': 427819008}
{'sec': 136.5541808605194, 'minatar-breakout/eval_R': 56.04999923706055, 'steps': 429916160}
{'sec': 137.22015070915222, 'minatar-breakout/eval_R': 57.27000045776367, 'steps': 432013312}
{'sec': 137.88621377944946, 'minatar-breakout/eval_R': 67.0999984741211, 'steps': 434110464}
{'sec': 138.55307459831238, 'minatar-breakout/eval_R': 65.69999694824219, 'steps': 436207616}
{'sec': 139.2193627357483, 'minatar-breakout/eval_R': 50.64999771118164, 'steps': 438304768}
{'sec': 139.88561463356018, 'minatar-breakout/eval_R': 57.119998931884766, 'steps': 440401920}
{'sec': 140.55222249031067, 'minatar-breakout/eval_R': 52.11000061035156, 'steps': 442499072}
{'sec': 141.2192895412445, 'minatar-breakout/eval_R': 51.69999694824219, 'steps': 444596224}
{'sec': 141.88544416427612, 'minatar-breakout/eval_R': 58.52000045776367, 'steps': 446693376}
{'sec': 142.5514588356018, 'minatar-breakout/eval_R': 69.4000015258789, 'steps': 448790528}
{'sec': 143.21774554252625, 'minatar-breakout/eval_R': 46.5, 'steps': 450887680}
{'sec': 143.88392615318298, 'minatar-breakout/eval_R': 52.28999710083008, 'steps': 452984832}
{'sec': 144.55093789100647, 'minatar-breakout/eval_R': 61.2599983215332, 'steps': 455081984}
{'sec': 145.2171471118927, 'minatar-breakout/eval_R': 43.57999801635742, 'steps': 457179136}
{'sec': 145.88416528701782, 'minatar-breakout/eval_R': 63.80999755859375, 'steps': 459276288}
{'sec': 146.55072140693665, 'minatar-breakout/eval_R': 55.03999710083008, 'steps': 461373440}
{'sec': 147.21716737747192, 'minatar-breakout/eval_R': 56.39999771118164, 'steps': 463470592}
{'sec': 147.882972240448, 'minatar-breakout/eval_R': 56.349998474121094, 'steps': 465567744}
{'sec': 148.54919457435608, 'minatar-breakout/eval_R': 66.26000213623047, 'steps': 467664896}
{'sec': 149.21532249450684, 'minatar-breakout/eval_R': 65.40999603271484, 'steps': 469762048}
{'sec': 149.88155722618103, 'minatar-breakout/eval_R': 62.959999084472656, 'steps': 471859200}
{'sec': 150.54742288589478, 'minatar-breakout/eval_R': 56.23999786376953, 'steps': 473956352}
{'sec': 151.21347498893738, 'minatar-breakout/eval_R': 60.68000030517578, 'steps': 476053504}
{'sec': 151.87962317466736, 'minatar-breakout/eval_R': 59.07999801635742, 'steps': 478150656}
{'sec': 152.54539561271667, 'minatar-breakout/eval_R': 50.12999725341797, 'steps': 480247808}
{'sec': 153.21150135993958, 'minatar-breakout/eval_R': 53.63999938964844, 'steps': 482344960}
{'sec': 153.87850189208984, 'minatar-breakout/eval_R': 65.43000030517578, 'steps': 484442112}
{'sec': 154.54498505592346, 'minatar-breakout/eval_R': 52.43000030517578, 'steps': 486539264}
{'sec': 155.21094512939453, 'minatar-breakout/eval_R': 63.18000030517578, 'steps': 488636416}
{'sec': 155.87723422050476, 'minatar-breakout/eval_R': 54.2599983215332, 'steps': 490733568}
{'sec': 156.54299235343933, 'minatar-breakout/eval_R': 60.459999084472656, 'steps': 492830720}
{'sec': 157.2089033126831, 'minatar-breakout/eval_R': 61.0, 'steps': 494927872}
{'sec': 157.875, 'minatar-breakout/eval_R': 64.29999542236328, 'steps': 497025024}
{'sec': 158.5409688949585, 'minatar-breakout/eval_R': 59.05999755859375, 'steps': 499122176}
Model saved to ./minatar-ppo-autoregressive-models/minatar-breakout//minatar-breakout-autoregressive-fs=1-N=4.ckpt
Training complete!
