state_index,episode,step,best_action,reward,done,action__minatar_space_invaders_seed_0,action__minatar_space_invaders_seed_0_steps_4980736,action__minatar_space_invaders_seed_0_steps_9961472,action__minatar_space_invaders_seed_0_steps_14942208,action__minatar_space_invaders_seed_0_steps_19922944,matching_models,matching_fraction,top_suffix_agree,category
156,0,78,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
157,1,78,2,0.0,False,2,1,3,2,2,3,0.6,2,top_2
158,0,79,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
159,1,79,2,0.0,False,2,1,3,2,2,3,0.6,2,top_2
160,0,80,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
161,1,80,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
162,0,81,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
163,1,81,2,0.0,False,2,3,3,2,2,3,0.6,2,top_2
164,0,82,2,1.0,False,2,2,2,2,2,5,1.0,5,all_models
165,1,82,0,0.0,False,0,3,3,0,0,3,0.6,2,top_2
166,0,83,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
167,1,83,0,0.0,False,0,1,1,0,0,3,0.6,2,top_2
168,0,84,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
169,1,84,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
170,0,85,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
171,1,85,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
172,0,86,2,0.0,False,2,3,2,2,2,4,0.8,3,top_3
173,1,86,2,0.0,False,2,3,3,2,2,3,0.6,2,top_2
174,0,87,2,0.0,False,2,3,2,2,2,4,0.8,3,top_3
175,1,87,2,1.0,False,2,2,2,2,2,5,1.0,5,all_models
176,0,88,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
177,1,88,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
178,0,89,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
179,1,89,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
180,0,90,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
181,1,90,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
182,0,91,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
183,1,91,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
184,0,92,3,0.0,False,3,1,1,1,3,2,0.4,1,best_only
185,1,92,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
186,0,93,1,1.0,False,1,1,1,1,1,5,1.0,5,all_models
187,1,93,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
188,0,94,3,0.0,False,3,3,1,3,3,4,0.8,2,top_2
189,1,94,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
190,0,95,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
191,1,95,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
192,0,96,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
193,1,96,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
194,0,97,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
195,1,97,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
196,0,98,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
197,1,98,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
198,0,99,3,0.0,False,3,1,1,1,3,2,0.4,1,best_only
199,1,99,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
200,0,100,3,1.0,False,3,1,1,3,3,3,0.6,2,top_2
201,1,100,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
202,0,101,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
203,1,101,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
204,0,102,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
205,1,102,3,0.0,False,3,1,1,1,3,2,0.4,1,best_only
206,0,103,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
207,1,103,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
208,0,104,3,0.0,False,3,1,3,3,3,4,0.8,3,top_3
209,1,104,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
210,0,105,1,0.0,False,1,3,3,3,1,2,0.4,1,best_only
211,1,105,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
212,0,106,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
213,1,106,3,1.0,False,3,1,1,3,3,3,0.6,2,top_2
214,0,107,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
215,1,107,3,0.0,False,3,1,3,3,3,4,0.8,3,top_3
216,0,108,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
217,1,108,3,0.0,False,3,1,1,3,3,3,0.6,2,top_2
218,0,109,1,0.0,False,1,2,1,1,1,4,0.8,3,top_3
219,1,109,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
220,0,110,1,0.0,False,1,3,1,1,1,4,0.8,3,top_3
221,1,110,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
222,0,111,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
223,1,111,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
224,0,112,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
225,1,112,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
226,0,113,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
227,1,113,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
228,0,114,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
229,1,114,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
230,0,115,3,0.0,False,3,2,3,2,3,3,0.6,1,best_only
231,1,115,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
232,0,116,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
233,1,116,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
234,0,117,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
235,1,117,1,0.0,False,1,1,3,1,1,4,0.8,2,top_2
236,0,118,0,0.0,False,0,3,3,1,0,2,0.4,1,best_only
237,1,118,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
238,0,119,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
239,1,119,1,0.0,False,1,2,3,1,1,3,0.6,2,top_2
240,0,120,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
241,1,120,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
242,0,121,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
243,1,121,1,1.0,False,1,1,1,1,1,5,1.0,5,all_models
244,0,122,1,0.0,False,1,3,1,1,1,4,0.8,3,top_3
245,1,122,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
246,0,123,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
247,1,123,1,0.0,False,1,3,1,1,1,4,0.8,3,top_3
248,0,124,3,0.0,False,3,1,3,3,3,4,0.8,3,top_3
249,1,124,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
250,0,125,1,0.0,False,1,1,3,3,1,3,0.6,1,best_only
251,1,125,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
252,0,126,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
253,1,126,2,0.0,False,2,3,3,1,2,2,0.4,1,best_only
254,0,127,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
255,1,127,2,0.0,False,2,2,2,1,2,4,0.8,1,best_only
256,0,128,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
257,1,128,2,0.0,False,2,2,2,1,2,4,0.8,1,best_only
258,0,129,1,0.0,False,1,2,1,1,1,4,0.8,3,top_3
259,1,129,2,0.0,False,2,3,3,3,2,2,0.4,1,best_only
260,0,130,1,0.0,False,1,2,1,1,1,4,0.8,3,top_3
261,1,130,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
262,0,131,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
263,1,131,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
264,0,132,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
265,1,132,2,0.0,False,2,3,3,3,2,2,0.4,1,best_only
266,0,133,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
267,1,133,2,0.0,False,2,3,3,3,2,2,0.4,1,best_only
268,0,134,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
269,1,134,2,0.0,False,2,1,2,2,2,4,0.8,3,top_3
270,0,135,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
271,1,135,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
272,0,136,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
273,1,136,3,0.0,False,3,1,1,1,3,2,0.4,1,best_only
274,0,137,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
275,1,137,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
276,0,138,2,1.0,False,2,2,3,3,2,3,0.6,1,best_only
277,1,138,2,0.0,False,2,3,3,3,2,2,0.4,1,best_only
278,0,139,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
279,1,139,2,0.0,False,2,1,1,3,2,2,0.4,1,best_only
280,0,140,2,0.0,False,2,3,2,2,2,4,0.8,3,top_3
281,1,140,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
282,0,141,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
283,1,141,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
284,0,142,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
285,1,142,1,0.0,False,1,3,2,1,1,3,0.6,2,top_2
286,0,143,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
287,1,143,3,0.0,False,3,3,3,2,3,4,0.8,1,best_only
288,0,144,2,0.0,False,2,1,3,2,2,3,0.6,2,top_2
289,1,144,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
290,0,145,1,0.0,False,1,1,3,3,1,3,0.6,1,best_only
291,1,145,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
292,0,146,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
293,1,146,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
294,0,147,1,0.0,False,1,3,1,1,1,4,0.8,3,top_3
295,1,147,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
296,0,148,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
297,1,148,1,0.0,False,1,3,1,1,1,4,0.8,3,top_3
298,0,149,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
299,1,149,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
300,0,150,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
301,1,150,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
302,0,151,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
303,1,151,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
304,0,152,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
305,1,152,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
306,0,153,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
307,1,153,3,0.0,False,3,3,3,2,3,4,0.8,1,best_only
308,0,154,1,0.0,False,1,1,3,1,1,4,0.8,2,top_2
309,1,154,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
310,0,155,3,0.0,False,3,1,1,3,3,3,0.6,2,top_2
311,1,155,3,0.0,False,3,1,3,3,3,4,0.8,3,top_3
312,0,156,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
313,1,156,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
314,0,157,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
315,1,157,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
316,0,158,3,0.0,False,3,2,3,3,3,4,0.8,3,top_3
317,1,158,2,0.0,False,2,3,3,3,2,2,0.4,1,best_only
318,0,159,3,0.0,False,3,2,3,3,3,4,0.8,3,top_3
319,1,159,1,1.0,False,1,1,3,3,1,3,0.6,1,best_only
320,0,160,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
321,1,160,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
322,0,161,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
323,1,161,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
324,0,162,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
325,1,162,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
326,0,163,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
327,1,163,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
328,0,164,3,0.0,False,3,2,3,3,3,4,0.8,3,top_3
329,1,164,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
330,0,165,3,0.0,False,3,2,2,3,3,3,0.6,2,top_2
331,1,165,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
332,0,166,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
333,1,166,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
334,0,167,3,1.0,False,3,1,2,3,3,3,0.6,2,top_2
335,1,167,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
336,0,168,3,0.0,False,3,2,3,3,3,4,0.8,3,top_3
337,1,168,2,0.0,False,2,2,3,2,2,4,0.8,2,top_2
338,0,169,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
339,1,169,2,0.0,False,2,3,3,2,2,3,0.6,2,top_2
340,0,170,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
341,1,170,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
342,0,171,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
343,1,171,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
344,0,172,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
345,1,172,3,0.0,False,3,1,1,1,3,2,0.4,1,best_only
346,0,173,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
347,1,173,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
348,0,174,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
349,1,174,2,0.0,False,2,1,1,2,2,3,0.6,2,top_2
350,0,175,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
351,1,175,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
352,0,176,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
353,1,176,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
354,0,177,3,1.0,False,3,1,3,3,3,4,0.8,3,top_3
355,1,177,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
356,0,178,3,0.0,False,3,1,3,3,3,4,0.8,3,top_3
357,1,178,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
358,0,179,3,0.0,False,3,1,1,3,3,3,0.6,2,top_2
359,1,179,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
360,0,180,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
361,1,180,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
362,0,181,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
363,1,181,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
364,0,182,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
365,1,182,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
366,0,183,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
367,1,183,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
368,0,184,3,0.0,False,3,1,3,3,3,4,0.8,3,top_3
369,1,184,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
370,0,185,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
371,1,185,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
372,0,186,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
373,1,186,3,0.0,False,3,1,3,3,3,4,0.8,3,top_3
374,0,187,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
375,1,187,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
